1,Cer_R,0.92,0.35,0.16
2,Cer_L,0.92,0.78,0.16
3,Ax_R,0.51,0.92,0.16
4,Ax_L,0.16,0.92,0.68
5,Ing_R,0.1,0.1,0.8
6,Ing_L,0.2,0.2,0.6
7,Il_R,0.16,0.92,0.91
8,Il_L ,0.16,0.56,0.92
9,Med,0.8,0.8,0
10,Ret,0.4,0.16,0.92
11,Liv,0.8,0.16,0.92
12,Spl,0.92,0.16,0.52
13,Mar,0.1,0.9,0.2
14,BG,0.92,0.16,0.16
